material,lat (AA),rS_A (AA),rP_A (AA),rS_B (AA),rP_B (AA),Z_A (e),Z_B (e),HOMO_A (eV),LUMO_A (eV),EA_A (eV),IP_A (eV),EN_A (eV),HOMO_B (eV),LUMO_B (eV),EA_B (eV),IP_B (eV),EN_B (eV)
LiRhO3,3.80777702,1.68680,2.09990,1.51700,2.24450,3,45,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.324078823778,-2.720936056224,-0.649048902331,9.152288883026,4.251619990348
LiPdO3,3.88078802,1.68680,2.09990,1.48560,2.29200,3,46,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-5.018246293882,-2.610572297189,-0.200021161260,10.166984187162,4.983481512951
LiAgO3,3.96964595,1.68680,2.09990,1.35140,1.94410,3,47,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.216907058393,-4.216907203152,-1.521159375706,7.251049684650,2.864945154472
LiCdO3,4.08506516,1.68680,2.09990,1.24890,1.89950,3,48,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-6.023736420579,-0.948499811712,1.046403819836,9.367805294123,5.207104556979
LiSnO3,4.02669195,1.68680,2.09990,1.07110,1.37380,3,50,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.693967270914,-3.693967397722,-1.084211366527,6.773509406815,2.844649020144
LiSbO3,3.90728111,1.68680,2.09990,1.00720,1.25160,3,51,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.963183376254,-4.963183546631,-1.964510398835,8.359173003941,3.197331302553
LiTaO3,3.92649555,1.68680,2.09990,1.47300,2.08400,3,73,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.410813983109,-3.410814100196,-0.207862642233,7.364063701622,3.578100529695
LiWO3,3.85839397,1.68680,2.09990,1.41610,2.11260,3,74,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.437043328913,-4.437043481229,-0.922676234942,8.672459941188,3.874891853123
LiPtO3,3.87923347,1.68680,2.09990,1.33610,1.80090,3,78,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-5.316148581053,-4.051110054601,-1.310324277513,10.114267892650,4.401971807568
LiPbO3,4.21236483,1.68680,2.09990,1.04520,1.42350,3,82,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.503690269109,-3.503690389384,-0.958997386626,6.476888103509,2.758945358442
